code,name,hex
AMMO.F-500,RETARDER,#ffffff
AMMO.F-501,WHIE FOR FIGURES,#dcddde
AMMO.F-502,OUTLINING BLACK,#454a4c
AMMO.F-503,DARK OLIVE GREEN FS-34130,#607455
AMMO.F-504,YELLOW GREEMFS 34259,#89904f
AMMO.F-505,PIULE YELLOW GREEN FS -33481,#9f9363
AMMO.F-506,MEDUM RUSSUU GREEN $ 3092,#41574e
AMMO.F-507,MATT EARTHFs 34088,#544b43
AMMO.F-508,BROWN BASE FS 30108,#564338
AMMO.F-509,UNIFORM GREEN BASE FS 34128,#4b664f
AMMO.F-510,UMIFORM SAND YELLOM FS 32555,#c79474
AMMO.F-511,LIGHT SAND FS-33727,#b4a395
AMMO.F-512,FIELD GREY FS-34159,#617969
AMMO.F-513,FIELD GREY HIGHUGHI FS-34414,#6e8d78
AMMO.F-514,FIELD GREY SHADOW FS-34085,#536055
AMMO.F-515,MIDGREY FS-36357,#939d96
AMMO.F-516,VGHTGREY FS-35630,#ccceb9
AMMO.F-517,PALE GOLD YELLOW,#bdb46b
AMMO.F-518,MARINE BLUE,#3f617d
AMMO.F-519,SAPPHIRE BLUE,#a0c1df
AMMO.F-520,DEEP COBALT BLUE,#6d93bb
AMMO.F-521,GREY LIGHT BROWN,#858684
AMMO.F-522,SLATE GREY,#52646f
AMMO.F-523,UNIFORM BLUE,#4383b5
AMMO.F-524,LIGHT SKY BLUE,#75bcda
AMMO.F-525,MEDIM BLUE,#528bbe
AMMO.F-526,CYAN,#5f8ba8
AMMO.F-527,PURE RED,#e65e44
AMMO.F-528,PURE GREEN,#85bf64
AMMO.F-529,PURE YELLOW,#e4b556
AMMO.F-530,BLUISH GREY,#607270
AMMO.F-531,MGH BROMN,#9e8c74
